Year,China,India,UnitedStates,World
1960,1.832867681,1.960983486,1.701992777,1.354133063
1961,-1.015527787,1.99843774,1.657730037,1.724287426
1962,0.820455549,2.031905454,1.537997358,2.083122677
1963,2.457647404,2.056911684,1.439164762,2.052968207
1964,2.320682987,2.071542291,1.389046055,2.054951801
1965,2.381368103,2.080132863,1.250171646,2.108406707
1966,2.787331838,2.083470803,1.154893191,2.046382363
1967,2.57069762,2.091093794,1.088881207,2.032522835
1968,2.610902626,2.113035337,0.998461044,2.11400925
1969,2.740002106,2.153541594,0.977242812,2.090786048
1970,2.761675566,2.204540007,1.165002667,2.107425722
1971,2.74691555,2.257900619,1.264333692,2.03171722
1972,2.45735693,2.301189898,1.070522752,1.967096391
1973,2.283395364,2.327407347,0.954476729,1.946405518
1974,2.065955013,2.331907575,0.913660196,1.865487747
1975,1.766391782,2.321759164,0.985986067,1.78617224
1976,1.547337973,2.304664538,0.950220049,1.749781322
1977,1.362779476,2.291300827,1.005771996,1.748028582
1978,1.338182338,2.286777711,1.05957308,1.761936541
1979,1.333927954,2.294895757,1.103576565,1.749242461
1980,1.254221052,2.309522066,0.959589923,1.764695517
1981,1.280952344,2.323757166,0.981415437,1.799212141
1982,1.47267476,2.328680217,0.953317566,1.783263215
1983,1.444949695,2.320387549,0.914378513,1.745968369
1984,1.312068761,2.295805371,0.865817336,1.748100246
1985,1.361699118,2.259852793,0.886129041,1.769492155
1986,1.487398929,2.220963073,0.924164157,1.781944643
1987,1.603605087,2.183884504,0.893829201,1.769534443
1988,1.610071086,2.14675799,0.90799904,1.737882712
1989,1.533169996,2.11086641,0.944405555,1.741002918
1990,1.467303211,2.076088739,1.12965052,1.663782595
1991,1.364434008,2.039729635,1.336260741,1.567900371
1992,1.225536228,2.003177618,1.386885692,1.559666634
1993,1.149619431,1.97063456,1.31868,1.518957729
1994,1.130260632,1.943244886,1.226296089,1.511008668
1995,1.086509151,1.918940549,1.190787091,1.452837796
1996,1.048141514,1.89521886,1.16341162,1.426788726
1997,1.023450024,1.869172711,1.203960297,1.391755205
1998,0.959550406,1.839658073,1.165714526,1.351404622
1999,0.865851393,1.80556042,1.148340047,1.322625849
2000,0.787956593,1.768125412,1.112768997,1.297639817
2001,0.726380638,1.728767638,0.989741382,1.276398448
2002,0.669999568,1.689562681,0.927797486,1.261670908
2003,0.622860936,1.651490906,0.859481713,1.254546126
2004,0.593932815,1.61530759,0.925483969,1.247251542
2005,0.58812499,1.57971029,0.921713167,1.244054592
2006,0.558374367,1.545696178,0.964253917,1.236152166
2007,0.522271866,1.50922207,0.951055243,1.239777335
2008,0.512386932,1.46489008,0.945865287,1.223820447
2009,0.497381401,1.4105823,0.876651299,1.203926343
2010,0.482959689,1.350339045,0.829274641,1.17094639
2011,0.479150454,1.28857558,0.726014424,1.184783403
2012,0.487231118,1.231622928,0.733617007,1.184819028
2013,0.493709634,1.18301607,0.693255125,1.181043922
2014,0.506311592,1.145623988,0.734092817,1.17004356
2015,0.508136747,1.116633091,0.737335445,1.165512803
2016,0.526380638,1.118767638,0.789741382,1.176398448
2017,0.569999568,1.189562681,0.727797486,1.161670908
2018,0.522860936,1.151490906,0.759481713,1.154546126
2019,0.593932815,1.11530759,0.725483969,1.17251542
2020,0.58812499,1.17971029,0.721713167,1.144054592
2021,0.558374367,1.145696178,0.764253917,1.136152166
2022,0.522271866,1.10922207,0.751055243,1.139777335
2023,0.512386932,1.16489008,0.745865287,1.123820447
2024,0.497381401,1.1105823,0.776651299,1.103926343
2025,0.482959689,1.150339045,0.729274641,1.17094639
2026,0.479150454,1.18857558,0.726014424,1.124783403
2027,0.487231118,1.131622928,0.733617007,1.184819028
2028,0.493709634,1.18301607,0.793255125,1.181043922
2029,0.406311592,1.145623988,0.734092817,1.17004356
2030,0.408136747,1.116633091,0.737335445,1.165512803
2031,0.48374367,1.105696178,0.664253917,1.126152166
2032,0.422271866,1.10922207,0.651055243,1.129777335
2033,0.412386932,1.10489008,0.645865287,1.113820447
2034,0.497381401,1.1005823,0.676651299,1.103926343
2035,0.482959689,1.100339045,0.629274641,1.16094639
2036,0.479150454,1.10857558,0.626014424,1.114783403
2037,0.487231118,1.101622928,0.633617007,1.174819028
2038,0.493709634,1.10301607,0.693255125,1.171043922
2039,0.406311592,1.105623988,0.634092817,1.16004356
2040,0.408136747,1.096633091,0.637335445,1.055512803
2041,0.38374367,1.095696178,0.564253917,1.026152166
2042,0.322271866,1.09922207,0.551055243,1.029777335
2043,0.312386932,1.09489008,0.545865287,1.013820447
2044,0.397381401,1.0905823,0.576651299,1.003926343
2045,0.382959689,1.090339045,0.529274641,1.06094639
2046,0.379150454,1.09857558,0.526014424,1.014783403
2047,0.387231118,1.091622928,0.533617007,1.074819028
2048,0.393709634,1.09301607,0.593255125,1.071043922
2049,0.306311592,1.095623988,0.534092817,1.06004356
2050,0.308136747,1.096633091,0.537335445,1.055512803

