date,value
1960-01-01,3.032019978
1961-01-01,3.073077563
1962-01-01,3.126066253
1963-01-01,3.191186048
1964-01-01,3.256700083
1965-01-01,3.3236237
1966-01-01,3.393699205
1967-01-01,3.463147267
1968-01-01,3.533536526
1969-01-01,3.608235815
1970-01-01,3.683676306
1971-01-01,3.761307048
1972-01-01,3.837726171
1973-01-01,3.913217944
1974-01-01,3.989385034
1975-01-01,4.063806523
1976-01-01,4.136393107
1977-01-01,4.208770941
1978-01-01,4.28234146
1979-01-01,4.357793599
1980-01-01,4.434021975
1981-01-01,4.512268962
1982-01-01,4.593454253
1983-01-01,4.675367633
1984-01-01,4.756998073
1985-01-01,4.840155168
1986-01-01,4.925801334
1987-01-01,5.013576387
1988-01-01,5.102293348
1989-01-01,5.190965222
1990-01-01,5.281340078
1991-01-01,5.369210095
1992-01-01,5.45339396
1993-01-01,5.538448726
1994-01-01,5.622575421
1995-01-01,5.707533023
1996-01-01,5.79045422
1997-01-01,5.873071768
1998-01-01,5.95481055
1999-01-01,6.035284135
2000-01-01,6.115108363
2001-01-01,6.194460444
2002-01-01,6.273526441
2003-01-01,6.352677699
2004-01-01,6.432374971
2005-01-01,6.512602867
2006-01-01,6.593623202
2007-01-01,6.675130418
2008-01-01,6.757887172
2009-01-01,6.840591577
2010-01-01,6.922947261
2011-01-01,7.004011262
2012-01-01,7.086993625
2013-01-01,7.170961674
2014-01-01,7.255653881
2015-01-01,7.340548192
2016-01-01,7.426103221
2017-01-01,7.510990456
2018-01-01,7.594270356
2019-01-01,7.674533
2020-01-01,7.754179
2021-01-01,7.833087
2022-01-01,7.911237
2023-01-01,7.988534
2024-01-01,8.064919
2025-01-01,8.140337
2026-01-01,8.21471
2027-01-01,8.287976
2028-01-01,8.360123
2029-01-01,8.431143
2030-01-01,8.50104
2031-01-01,8.569826
2032-01-01,8.637488
2033-01-01,8.704045
2034-01-01,8.769511
2035-01-01,8.833928
2036-01-01,8.897313
2037-01-01,8.959688
2038-01-01,9.021044
2039-01-01,9.081392
2040-01-01,9.140723
2041-01-01,9.199039
2042-01-01,9.256312
2043-01-01,9.312513
2044-01-01,9.367581
2045-01-01,9.421505
2046-01-01,9.474243
2047-01-01,9.525803
2048-01-01,9.576173
2049-01-01,9.62533
2050-01-01,9.672918
